sift-acc,sift-qps,sift-iacc,sift-iqps,sift-iavx-acc,sift-iavx-qps,gist-acc,gist-qps,gist-iacc,gist-iqps,gist-iavx-acc,gist-iavx-qps
0.740411,4612.55,0.741662,5274.26,0.741137,7524.45,0.56725,1020.41,0.56933,1028.81,0.56932,1964.64
0.840126,3787.88,0.838698,4278.99,0.837966,6153.85,0.62693,848.176,0.62697,865.052,0.62683,1605.14
0.896033,3304.69,0.895412,3685.96,0.896638,5299.42,0.67428,763.942,0.67451,763.942,0.67463,1428.57
0.924216,2906.13,0.923423,3264.77,0.924455,4812.32,0.70845,682.128,0.7087,692.521,0.70839,1293.66
0.940382,2656.75,0.940467,2968.24,0.940567,4314.06,0.73693,619.963,0.73708,623.83,0.73715,1162.79
0.952121,2444.39,0.952292,2700.51,0.952486,3984.06,0.7589,563.063,0.7591,578.704,0.7591,1068.38
0.959883,2255.81,0.96056,2521.43,0.959866,3688.68,0.78245,531.632,0.78241,536.481,0.78232,1001
0.966397,2120.44,0.966596,2344.12,0.966631,3444.71,0.85767,330.579,0.85757,343.407,0.85763,642.674
0.987935,1300.05,0.987506,1511.49,0.987618,2208.97,0.89108,249.813,0.89116,261.986,0.89117,497.018
0.993645,927.816,0.993429,1145.74,0.993424,1699.52,0.9111,203.087,0.91134,216.685,0.91135,406.339
0.995795,726.903,0.995795,940.026,0.995785,1400.56,0.93337,148.898,0.93328,162.522,0.9333,295.77
0.997577,471.12,0.997656,696.67,0.997656,1035.95,0.94514,119.048,0.94511,138.831,0.94511,261.643
0.998579,343.784,0.998564,560.538,0.998564,827.061,0.95921,81.3206,0.95919,105.675,0.9592,200.16
0.999205,193.6,0.999201,400.144,0.999203,588.235,0.96703,59.8659,0.96707,86.5276,0.96707,165.317
,,,,,,0.97215,45.6621,0.97216,74.3384,0.97217,143.143
,,,,,,0.97646,32.885,0.97633,63.5728,0.97633,122.699
