sift-acc,sift-qps,sift-hacc,sift-hqps,sift-iacc,sift-iqps,gist-acc,gist-qps,gist-hacc,gist-hqps,gist-iacc,gist-iqps
0.740411,4612.55,0.740086,5189.41,0.741662,5274.26,0.56725,1020.41,0.56845,1031.99,0.56933,1028.81
0.840126,3787.88,0.838052,4269.85,0.838698,4278.99,0.62693,848.176,0.62753,873.362,0.62697,865.052
0.896033,3304.69,0.896645,3671.07,0.895412,3685.96,0.67428,763.942,0.6744,763.942,0.67451,763.942
0.924216,2906.13,0.923834,3294.89,0.923423,3264.77,0.70845,682.128,0.709,675.219,0.7087,692.521
0.940382,2656.75,0.940461,2953.34,0.940467,2968.24,0.73693,619.963,0.73737,605.327,0.73708,623.83
0.952121,2444.39,0.951628,2735.98,0.952292,2700.51,0.7589,563.063,0.7591,560.224,0.7591,578.704
0.959883,2255.81,0.960582,2519.53,0.96056,2521.43,0.78245,531.632,0.78234,526.87,0.78241,536.481
0.966397,2120.44,0.966758,2355.71,0.966596,2344.12,0.85767,330.579,0.85755,335.683,0.85757,343.407
0.987935,1300.05,0.987439,1519.53,0.987506,1511.49,0.89108,249.813,0.89121,256.871,0.89116,261.986
0.993645,927.816,0.993426,1152.21,0.993429,1145.74,0.9111,203.087,0.91132,210.793,0.91134,216.685
0.995795,726.903,0.995785,939.055,0.995795,940.026,0.93337,148.898,0.93328,161.031,0.93328,162.522
0.997577,471.12,0.997657,698.178,0.997656,696.67,0.94514,119.048,0.94511,130.582,0.94511,138.831
0.998579,343.784,0.998566,555.031,0.998564,560.538,0.95921,81.3206,0.95918,101.554,0.95919,105.675
0.999205,193.6,0.999202,400.737,0.999201,400.144,0.96703,59.8659,0.96707,84.0266,0.96707,86.5276
,,,,,,0.97215,45.6621,0.97216,72.0669,0.97216,74.3384
,,,,,,0.97646,32.885,0.97633,61.121,0.97633,63.5728
