s-acc,s-qps,sm-acc,sm-qps,g-acc,g-qps,gm-acc,gm-qps,sl-acc,sl-qps,slm-acc,slm-qps,gl-acc,gl-qps,glm-acc,glm-qps
0.593821,10040.2,0.60113,109.351,0.56932,1964.64,0.56983,0.654754,0.600881,11210.8,0.599647,305.82,0.56991,2096.44,0.5703,3.36348
0.741137,7524.45,0.737444,7513.15,0.62683,1605.14,0.62799,4.01958,0.742654,8598.45,0.741452,8673.03,0.62924,1811.59,0.628,138.179
0.837966,6153.85,0.839015,6020.47,0.67463,1428.57,0.67467,5.31398,0.838724,7230.66,0.840924,7220.22,0.67479,1577.29,0.67356,205.255
0.896638,5299.42,0.894406,5257.62,0.70839,1293.66,0.70957,6.72169,0.893578,6234.41,0.894544,6341.15,0.70898,1400.56,0.70863,320.102
0.924455,4812.32,0.924562,4752.85,0.73715,1162.79,0.73786,8.86022,0.923376,5649.72,0.92379,5627.46,0.73819,1251.56,0.73776,383.289
0.940567,4314.06,0.939794,4286.33,0.7591,1068.38,0.7587,6.47673,0.940047,5157.3,0.940974,5219.21,0.75913,1169.59,0.75988,475.511
0.952486,3984.06,0.952189,3972.98,0.78232,1001,0.78197,11.5835,0.951185,4752.85,0.952076,4835.59,0.78153,1069.52,0.78213,565.931
0.959866,3688.68,0.960054,3669.72,0.85763,642.674,0.85796,4.91215,0.959006,4436.56,0.959301,4454.34,0.85775,689.18,0.85771,336.587
0.966631,3444.71,0.966474,3439.97,0.89117,497.018,0.89113,7.09205,0.9665,4149.38,0.966568,3500.17,0.89109,529.101,0.89114,392.773
0.987618,2208.97,0.987858,2202.16,0.91135,406.339,0.911,10.9194,0.988242,2577.32,0.987447,2311.6,0.91095,437.063,0.91103,376.081
0.993424,1699.52,0.99343,1697.5,0.9333,295.77,0.93335,20.2762,0.993324,1898.97,0.993619,1934.61,0.93344,331.565,0.93329,316.656
0.995785,1400.56,0.995766,1397.82,0.94511,261.643,0.94515,29.7424,0.995681,1511.49,0.995578,1538.7,0.94514,272.554,0.94515,249.501
0.997656,1035.95,0.997762,1045.92,0.9592,200.16,0.95919,50.7511,0.997657,1076.54,0.997761,1089.8,0.95919,205.086,0.95917,172.563
0.998564,827.061,0.998566,834.028,0.96707,165.317,0.96703,66.291,0.998565,830.703,0.998565,799.872,0.96702,168.634,0.96703,154.799
0.999203,588.235,0.999197,584.419,0.97217,143.143,0.97215,87.6655,0.9992,557.414,0.999198,562.114,0.97215,143.062,0.97217,113.212
,,,,0.97633,122.699,0.97632,93.0146,,,,,0.97634,119.717,0.97633,112.145
