Accuracy,QPS,50acc,50qps,30acc,30qps,10acc,10qps
0.594088,6112.47,0.627388,7733.95,0.64259,7604.56,0.61452,2404.42
0.740411,4612.55,0.73416,6060.61,0.78058,4528.99,0.66915,1643.39
0.840126,3787.88,0.815414,5274.26,0.884863,2489.42,0.72706,1163.47
0.896033,3304.69,0.913876,3279.76,0.933363,1589.32,0.75638,778.877
0.924216,2906.13,0.965458,1933.11,0.955557,1159.82,0.78506,622.123
0.940382,2656.75,0.980474,1299.55,0.975293,650.195,0.80994,505.919
0.952121,2444.39,0.986368,964.134,0.98249,439.754,0.83253,420.663
0.959883,2255.81,0.991868,574.515,0.98618,371.333,0.84475,351.865
0.966397,2120.44,0.994458,401.365,0.98727,317.864,0.86321,266.539
0.974124,1858.39,0.995758,293.738,0.98836,247.048,0.87382,225.912
0.978518,1673.36,0.996882,202.647,0.989437,213.156,,
0.982746,1536.57,,,,,,
0.987935,1300.05,,,,,,
0.993645,927.816,,,,,,
0.996656,587.268,,,,,,
0.998579,343.784,,,,,,
0.999205,193.6,,,,,,
